label	args	appearance	content_size	width	height	bytes	sha256	path
01-home		dark	accessibility-large	1206	2622	450758	ab184c94f6a1a2b822306cb2b440981f0f0116991d451a9f2ab02535f13e0837	design/migration/accessibility-large-dark-fixed-20260721/01-home.png
02-onboarding-welcome	-NomeOnboardingWelcomePreview	dark	accessibility-large	1206	2622	408803	f215a6617e4ee3e1893e3ddee65202aa16c87ba78f42e9393ba89bae6d0f5e40	design/migration/accessibility-large-dark-fixed-20260721/02-onboarding-welcome.png
03-onboarding-profile	-NomeOnboardingProfilePreview	dark	accessibility-large	1206	2622	574945	863287b4896e7c95c0a6399b6308df7086208d693ba58fcdf37c88d288674c8a	design/migration/accessibility-large-dark-fixed-20260721/03-onboarding-profile.png
04-onboarding-network	-NomeOnboardingNetworkPreview	dark	accessibility-large	1206	2622	397878	0efcf074e51c02be3f2423b42defb042ba276a86c4ac1947506a4aa5375bd284	design/migration/accessibility-large-dark-fixed-20260721/04-onboarding-network.png
05-onboarding-conditions	-NomeOnboardingConditionsPreview	dark	accessibility-large	1206	2622	407173	95e157dd61ba7b7420112b0a198d3e665cec1af3e6950d8d28a6c044c0a0c900	design/migration/accessibility-large-dark-fixed-20260721/05-onboarding-conditions.png
06-chat-list-existing	-NomeChatListPreview	dark	accessibility-large	1206	2622	448030	9ce6fcd1898b245387af6ec6dd08e73c2c6113838df8288b868110d9673dd4bd	design/migration/accessibility-large-dark-fixed-20260721/06-chat-list-existing.png
07-conversation-preview	-NomeConversationPreview	dark	accessibility-large	1206	2622	561540	6d8235c49e8a883a96ff854c2f632dcc1e552c07f2176a685c6e1b57dbd23e3f	design/migration/accessibility-large-dark-fixed-20260721/07-conversation-preview.png
08-conversation-details	-NomeConversationPreview -NomeConversationPreviewOpenDetails	dark	accessibility-large	1206	2622	353557	d8f3588789bd6a46c49609b3907c30c4dbdad127dae8a22315c4a459bb7b489e	design/migration/accessibility-large-dark-fixed-20260721/08-conversation-details.png
09-identity-center	-NomeIdentityCenterPreview	dark	accessibility-large	1206	2622	359422	4148875045aa4f5c2eeadad8d142728f8d7d2e9f40a2d5d41cb208a6b587e3d9	design/migration/accessibility-large-dark-fixed-20260721/09-identity-center.png
10-add-friend	-NomeAddFriendPreview	dark	accessibility-large	1206	2622	367162	6589adf7caf6921f9ec055e4e27bcd85b03a64df9145ef2b12c1adeb4ba2c63c	design/migration/accessibility-large-dark-fixed-20260721/10-add-friend.png
11-join-group	-NomeJoinGroupPreview	dark	accessibility-large	1206	2622	350868	3a8b934fa863ba6b1d205729b9d143aebbd8a2d6452195695c2e27c735901e91	design/migration/accessibility-large-dark-fixed-20260721/11-join-group.png
12-public-contact	-NomePublicContactPreview	dark	accessibility-large	1206	2622	323247	30220d4419889841c9f3b2cef94bf4bb30c1a8ec526c14aa4066aa32d617bd4a	design/migration/accessibility-large-dark-fixed-20260721/12-public-contact.png
13-settings	-NomeSettingsPreview	dark	accessibility-large	1206	2622	294945	9d25199e182c02c59a77bc3b8773974feeb7aedf2c027d17b88b0a59970c0e72	design/migration/accessibility-large-dark-fixed-20260721/13-settings.png
14-contacts	-NomeContactsPreview	dark	accessibility-large	1206	2622	635833	8423932e02598167f65d633792ee598bef4228b2f0e3ffb05642785e52e4dcbc	design/migration/accessibility-large-dark-fixed-20260721/14-contacts.png
