label	args	appearance	content_size	width	height	bytes	sha256	path
01-home		light	accessibility-large	1206	2622	463674	b50c6edf094589210cc85e8da4069826f82a8ff9ca5e6b5ee6a44e313639b103	design/migration/accessibility-large-light-fixed-20260721/01-home.png
02-onboarding-welcome	-NomeOnboardingWelcomePreview	light	accessibility-large	1206	2622	383678	bdf274be2d784cca880fd916a94187836ae7afc7181064c67ef7ff0ad0ca99ea	design/migration/accessibility-large-light-fixed-20260721/02-onboarding-welcome.png
03-onboarding-profile	-NomeOnboardingProfilePreview	light	accessibility-large	1206	2622	527780	30ce3dd1b931b03e76eb4e1746f9d5f49753edf4942906693b1c09a5c0a39616	design/migration/accessibility-large-light-fixed-20260721/03-onboarding-profile.png
04-onboarding-network	-NomeOnboardingNetworkPreview	light	accessibility-large	1206	2622	372415	1502f6d9ea70b1801e5492b8e166428198dc0282dcbf387ad7ea17ed763c6442	design/migration/accessibility-large-light-fixed-20260721/04-onboarding-network.png
05-onboarding-conditions	-NomeOnboardingConditionsPreview	light	accessibility-large	1206	2622	382632	35d68484a85912977527d933597eb3b8893299b791a4a31cde4116aca71173ee	design/migration/accessibility-large-light-fixed-20260721/05-onboarding-conditions.png
06-chat-list-existing	-NomeChatListPreview	light	accessibility-large	1206	2622	445103	9eb6cd31118cac815790705b2f79e41f2aab33889371f2abc64c5b6b53b00a86	design/migration/accessibility-large-light-fixed-20260721/06-chat-list-existing.png
07-conversation-preview	-NomeConversationPreview	light	accessibility-large	1206	2622	806547	0851cd44163426fe659cbcc7afa66209c3d726209293cb670cb6b4f82858de55	design/migration/accessibility-large-light-fixed-20260721/07-conversation-preview.png
08-conversation-details	-NomeConversationPreview -NomeConversationPreviewOpenDetails	light	accessibility-large	1206	2622	345258	d654b211a45c4349167b7f82765170ab930ca9402c2651efbb5f269d07452613	design/migration/accessibility-large-light-fixed-20260721/08-conversation-details.png
09-identity-center	-NomeIdentityCenterPreview	light	accessibility-large	1206	2622	362876	2d698befaa3057ed379fb8f65ea6a6d54a19c61e673e82a12739310cbc429309	design/migration/accessibility-large-light-fixed-20260721/09-identity-center.png
10-add-friend	-NomeAddFriendPreview	light	accessibility-large	1206	2622	367502	0dab0af7de07d94378449d117b4c157f93142f629d324a576a8b9ead1459b6fd	design/migration/accessibility-large-light-fixed-20260721/10-add-friend.png
11-join-group	-NomeJoinGroupPreview	light	accessibility-large	1206	2622	356642	d356619fb7c1caa5ba532e431c2332afc590828f4d6d5dab33394197691e2b4c	design/migration/accessibility-large-light-fixed-20260721/11-join-group.png
12-public-contact	-NomePublicContactPreview	light	accessibility-large	1206	2622	350745	3bf9677f2bd82e0a4933512493ac68378465d13bbdc6971bef2f2863f9c0332e	design/migration/accessibility-large-light-fixed-20260721/12-public-contact.png
13-settings	-NomeSettingsPreview	light	accessibility-large	1206	2622	273050	99747d63ebf13f75146f726cc3a79b36db519efb50bc8a0779980f7c5039b080	design/migration/accessibility-large-light-fixed-20260721/13-settings.png
14-contacts	-NomeContactsPreview	light	accessibility-large	1206	2622	702339	9cf6cc898aa86a541e279e4c98a5ec3ade3562db0e3bb10ff2df415ab89aecf7	design/migration/accessibility-large-light-fixed-20260721/14-contacts.png
