label	args	width	height	bytes	sha256	path
01-home		1206	2622	356327	5cbeffc446b70e60c8e0ce26e6ee05909d83097f20446faa999d1419166e61fd	design/migration/smoke-20260721/01-home.png
02-onboarding-welcome	-NomeOnboardingWelcomePreview	1206	2622	350559	e5d8aba27886f69a9a17288051ced243fe9b4b4e95a6579ffcc3159d3ca9e05b	design/migration/smoke-20260721/02-onboarding-welcome.png
03-onboarding-profile	-NomeOnboardingProfilePreview	1206	2622	344329	7491876e3247c40364c3d152127f7d77b5264127c78afd7b1454f35b8fe17d8d	design/migration/smoke-20260721/03-onboarding-profile.png
04-onboarding-network	-NomeOnboardingNetworkPreview	1206	2622	336305	bb522d7ed43192c6a2fa5e2a80155c6cf751688ab17b2f0d3e72b3f63e46b540	design/migration/smoke-20260721/04-onboarding-network.png
05-onboarding-conditions	-NomeOnboardingConditionsPreview	1206	2622	368590	7082793cba6e449aa1be0b5ec19c6e3ce31785be19d9172fbc54d9f46123216b	design/migration/smoke-20260721/05-onboarding-conditions.png
06-chat-list-existing	-NomeChatListPreview	1206	2622	393324	1dc0366b9e842d02c42e8cc0e3349b03d8dc7a0d20a25dc7dfb9fdf0de41b96a	design/migration/smoke-20260721/06-chat-list-existing.png
07-conversation-preview	-NomeConversationPreview	1206	2622	676596	dab6297db179f82fba69a74700c6364f282f49570e4a5b28619c5df4fea17b6a	design/migration/smoke-20260721/07-conversation-preview.png
08-conversation-details	-NomeConversationPreview -NomeConversationPreviewOpenDetails	1206	2622	290198	47b296b110c13ea5a51e3d47042f4322371d77cdd4c84fae0be4053aca119185	design/migration/smoke-20260721/08-conversation-details.png
09-identity-center	-NomeIdentityCenterPreview	1206	2622	263942	aad977504e6b0516db0acafb6cd6de8c8411adf815c493dd5dbc70fac8a49a81	design/migration/smoke-20260721/09-identity-center.png
10-add-friend	-NomeAddFriendPreview	1206	2622	353796	951a2cb0b2f4762ce86d304d9bc949bcfc6aad0f2343d53196d13bf2524ce3b1	design/migration/smoke-20260721/10-add-friend.png
11-join-group	-NomeJoinGroupPreview	1206	2622	285862	d0a593ca0d72907998ed55ffddf2ea34d3b46635cc08e403f96450a6c3fbdeba	design/migration/smoke-20260721/11-join-group.png
12-public-contact	-NomePublicContactPreview	1206	2622	344938	13737fd03db36fecbe41db319bbf862701ba083e01d4466ebef6c7d2bdf56d57	design/migration/smoke-20260721/12-public-contact.png
13-settings	-NomeSettingsPreview	1206	2622	265886	c83a5405a691de7876e52809a53bda944f80c1ac8c1d944106a9ee54e78eca39	design/migration/smoke-20260721/13-settings.png
14-contacts	-NomeContactsPreview	1206	2622	445151	c351a13780378b6f17b02d8f18c629e4b94e45dcd631c121d1fc5c95d8b10e14	design/migration/smoke-20260721/14-contacts.png
