label	args	width	height	bytes	sha256	path
01-home		1206	2622	355000	d6170046bae895b05772b18dfbc3eb5f6192487a62067fc75bbd5506d800aae8	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/01-home.png
02-onboarding-welcome	-NomeOnboardingWelcomePreview	1206	2622	349305	b56bb52c9b4651df186b1928098ac4bd5484abcd9dbe1bd9ddcd9780d82a7493	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/02-onboarding-welcome.png
03-onboarding-profile	-NomeOnboardingProfilePreview	1206	2622	342644	d2e65c1d6f494460c7ae86c892211322609ff7a49fda608078a38813f6c036e4	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/03-onboarding-profile.png
04-onboarding-network	-NomeOnboardingNetworkPreview	1206	2622	334721	6efb60274cbdf30f499420bc7899592196724c130af8f841a54bcedd2b183713	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/04-onboarding-network.png
05-onboarding-conditions	-NomeOnboardingConditionsPreview	1206	2622	367023	6247c67d8c937c7577c812b2b0e2c1e817b5b91ad80ac69d95e7036df074738e	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/05-onboarding-conditions.png
06-chat-list-existing	-NomeChatListPreview	1206	2622	389709	7781911283a071d6e480b87baede32edab1818442e276de09d190b7f631fd964	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/06-chat-list-existing.png
07-conversation-preview	-NomeConversationPreview	1206	2622	672362	4630959d543619db979acb9c2e5ce5b14c26204e00582c2c17c9f13cfb50e837	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/07-conversation-preview.png
08-conversation-details	-NomeConversationPreview -NomeConversationPreviewOpenDetails	1206	2622	288683	d254151c1eedc72562bc816cf699631fdec94c9c08f392422f7c3dba95544606	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/08-conversation-details.png
09-identity-center	-NomeIdentityCenterPreview	1206	2622	262292	01bd8c6fc6b4b5f325898d237ef86d8b76a90518e7c6cc3e592a843912cf4e62	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/09-identity-center.png
10-add-friend	-NomeAddFriendPreview	1206	2622	352258	7bf033b36f83bc41727207b5a757d083c9d97e34ba15d0ae47728b04c2ba392e	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/10-add-friend.png
11-join-group	-NomeJoinGroupPreview	1206	2622	284464	88bc363b60998c459b4d153e362f99f86125538e8cf26372ad5959caeb086701	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/11-join-group.png
12-public-contact	-NomePublicContactPreview	1206	2622	343855	ccc674d4f0095c4b9708e4f6bddd4c2a3008d3fd34f967b639e5a77379982f77	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/12-public-contact.png
13-settings	-NomeSettingsPreview	1206	2622	265317	54b5150312788802e3d6ec0b1a9dba1d4e658b0ef5f8ed4ec3cae856e2ef1ff3	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/13-settings.png
14-contacts	-NomeContactsPreview	1206	2622	442520	f5b82c36af5abe21c4843da6a216cf2ff7173c7ee3290aa433ce2e8e3a6917cd	/Users/forkman03/project/nome/simplex-chat-ios/design/migration/smoke-light-fixed-20260721/14-contacts.png
